Date,ZScore_Sum_W,ZScore_Sum_M
2016-12-31,,-6.27
2017-01-31,,8.1
2017-02-28,,0.55
2017-03-31,,-3.7800000000000002
2017-05-31,,-6.23
2017-06-30,,-3.09
2017-07-31,,-1.8699999999999999
2017-08-31,,35.89
2017-09-30,,6.32
2017-10-31,,4.74
2017-11-30,,-1.4500000000000002
2018-01-31,,8.34
2018-02-28,,2.83
2018-03-31,,0.21000000000000008
2018-04-30,,5.42
2018-05-31,,-3.49
2018-06-30,,-3.6799999999999997
2018-07-31,,-1.02
2018-08-31,,-3.9
2018-10-31,,17.56
2018-11-30,,16.72
2018-12-31,,9.95
2019-01-31,,17.5
2019-02-28,,2.46
2019-04-30,,17.13
2019-05-31,,22.78
2019-07-31,,12.950000000000001
2019-08-31,,12.54
2019-09-30,,17.79
2019-10-31,,59.72
2019-11-30,,19.06
2019-12-31,,7.22
2020-01-31,,10.41
2020-02-29,,2.9299999999999997
2020-03-31,,40.67
2020-04-30,,16.57
2020-06-30,,16.21
2020-07-31,,22.87
2020-08-31,,4.47
2020-09-30,,13.5
2020-10-31,,20.5
2020-11-30,,18.86
2020-12-31,,15.66
2021-03-31,,12.49
2021-04-30,,11.03
2021-05-31,,3.7
2021-06-30,,9.97
2021-07-31,,3.16
2021-08-31,,12.280000000000001
2021-09-30,,5.9
2021-11-30,,6.7
2021-12-31,,0.8500000000000001
2022-01-31,,11.61
2022-02-28,,10.25
2022-03-31,,14.629999999999999
2022-04-30,,21.87
2022-05-31,,21.21
2022-06-30,,9.34
2022-08-31,,0.25
2022-09-30,,16.45
2022-10-31,,2.99
2022-11-30,,-0.8199999999999998
2022-12-31,,7.8
2023-01-31,,14.52
2023-02-28,,5.06
2023-03-31,,14.870000000000001
2023-05-31,,14.94
2023-06-30,,9.71
2023-07-31,,28.47
2023-08-31,,4.65
2023-09-30,,3.16
2023-10-31,,5.840000000000001
2023-11-30,,-0.7100000000000002
2024-01-31,,16.26
2024-02-29,,1.18
2024-04-30,,20.53
2024-05-31,,18.64
2024-07-31,,21.73
2024-08-31,,7.789999999999999
2024-09-30,,10.41
2024-10-31,,4.34
2024-11-30,,5.54
2024-12-31,,0.74
